Thread_ID,BeginTime(Second),EndTime(Second),CostTime(Second),CPU Utilization Before the Query,CPU Utilization After the Query,Memory Utilization Before the Query,Memory Utilization After the Query,Sql Or The Number of Sql(1-22)
THREAD_8,1.358931386E9,1.358931404E9,18.0,27.0,0.0,27.0,27.0,2
THREAD_7,1.358931386E9,1.358931404E9,18.0,27.0,0.0,27.0,27.0,2
Statistics for Each Query:
Sql_Num,ExectorCount,MinExecTime,MaxExecTime,AverageExecTime
2,2,18,18,18
1,0,0,0,0
